Enterprise,Budget,Infra,Legacy,Deployment,Direction,Bank relation,bank_name,bank_policy,bank_size,bank_hw_pref,compatibility_score,compatibility_bucket,recommended_algorithms,recommended_hw_module_key,recommended_hw_module_desc,hw_suitable_for,reasons
Big,High,New,Present,Different servers,User->Server,Different bank,ICICI,adopt_pqc,Big,new,90,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,User->Server,Different bank,HDFC,hybrid,Big,mid,74,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Legacy present -> keep classical for compatibility and add PQC fallback. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,User->Server,Different bank,SBI,classical_only,Low,old,60.25,Medium,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,User->Server,Different bank,Saraswat,classical_but_latest_hw,Mid,latest,62.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Same bank,ICICI,adopt_pqc,Big,new,90,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Same bank,HDFC,hybrid,Big,mid,74,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Legacy present -> keep classical for compatibility and add PQC fallback. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Same bank,SBI,classical_only,Low,old,60.25,Medium,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Same bank,Saraswat,classical_but_latest_hw,Mid,latest,62.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Different bank,ICICI,adopt_pqc,Big,new,90,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Different bank,HDFC,hybrid,Big,mid,74,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Legacy present -> keep classical for compatibility and add PQC fallback. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Different bank,SBI,classical_only,Low,old,60.25,Medium,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Present,Different servers,Server->User,Different bank,Saraswat,classical_but_latest_hw,Mid,latest,62.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Same server,User->Server,Same bank,ICICI,adopt_pqc,Big,new,96,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,User->Server,Same bank,HDFC,hybrid,Big,mid,80,High,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,mid_tier_fpga,Mid-tier FPGA or crypto-accelerator (balanced resources),Kyber/Dilithium,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA.
Big,High,New,Absent,Same server,User->Server,Same bank,SBI,classical_only,Low,old,49,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),lightweight_cpu,Lightweight CPU (low-power) - prefer small/optimized algorithms,ECDSA / RSA (legacy),Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade.
Big,High,New,Absent,Same server,User->Server,Same bank,Saraswat,classical_but_latest_hw,Mid,latest,67.25,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,User->Server,Different bank,ICICI,adopt_pqc,Big,new,96,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,User->Server,Different bank,HDFC,hybrid,Big,mid,80,High,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,mid_tier_fpga,Mid-tier FPGA or crypto-accelerator (balanced resources),Kyber/Dilithium,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA.
Big,High,New,Absent,Same server,User->Server,Different bank,SBI,classical_only,Low,old,49,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),lightweight_cpu,Lightweight CPU (low-power) - prefer small/optimized algorithms,ECDSA / RSA (legacy),Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade.
Big,High,New,Absent,Same server,User->Server,Different bank,Saraswat,classical_but_latest_hw,Mid,latest,67.25,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,Server->User,Same bank,ICICI,adopt_pqc,Big,new,96,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,Server->User,Same bank,HDFC,hybrid,Big,mid,80,High,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,mid_tier_fpga,Mid-tier FPGA or crypto-accelerator (balanced resources),Kyber/Dilithium,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA.
Big,High,New,Absent,Same server,Server->User,Same bank,SBI,classical_only,Low,old,49,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),lightweight_cpu,Lightweight CPU (low-power) - prefer small/optimized algorithms,ECDSA / RSA (legacy),Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade.
Big,High,New,Absent,Same server,Server->User,Same bank,Saraswat,classical_but_latest_hw,Mid,latest,67.25,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,Server->User,Different bank,ICICI,adopt_pqc,Big,new,96,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Same server,Server->User,Different bank,HDFC,hybrid,Big,mid,80,High,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,mid_tier_fpga,Mid-tier FPGA or crypto-accelerator (balanced resources),Kyber/Dilithium,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA.
Big,High,New,Absent,Same server,Server->User,Different bank,SBI,classical_only,Low,old,49,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),lightweight_cpu,Lightweight CPU (low-power) - prefer small/optimized algorithms,ECDSA / RSA (legacy),Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade.
Big,High,New,Absent,Same server,Server->User,Different bank,Saraswat,classical_but_latest_hw,Mid,latest,67.25,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),high_end_fpga,"High-end FPGA / ASIC (lots of LUT/BRAM/DSP, high freq)",Falcon/Dilithium/Kyber,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended.
Big,High,New,Absent,Different servers,User->Server,Same bank,ICICI,adopt_pqc,Big,new,94,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Same bank,HDFC,hybrid,Big,mid,78,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Same bank,SBI,classical_only,Low,old,48.5,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Same bank,Saraswat,classical_but_latest_hw,Mid,latest,66.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Different bank,ICICI,adopt_pqc,Big,new,94,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Different bank,HDFC,hybrid,Big,mid,78,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Different bank,SBI,classical_only,Low,old,48.5,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,User->Server,Different bank,Saraswat,classical_but_latest_hw,Mid,latest,66.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Same bank,ICICI,adopt_pqc,Big,new,94,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Same bank,HDFC,hybrid,Big,mid,78,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Same bank,SBI,classical_only,Low,old,48.5,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Same bank,Saraswat,classical_but_latest_hw,Mid,latest,66.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Different bank,ICICI,adopt_pqc,Big,new,94,High,Falcon (Signature); Kyber (KEM); Dilithium (Signature),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank is PQC-adopter and test-case has High budget + New infra -> recommend full PQC (Falcon/Dilithium/Kyber). | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Different bank,HDFC,hybrid,Big,mid,78,Medium,Kyber+RSA-hybrid; Dilithium+ECDSA-hybrid,cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Hybrid policy -> recommend hybrid classical+PQC stack. | Mid hardware + high budget -> mid-tier FPGA. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Different bank,SBI,classical_only,Low,old,48.5,Low,RSA/ECDSA (classical); Optional: Kyber (pilot),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Bank policy classical-only -> default to classical algorithms. | New infra + budget allows optional PQC pilot. | Old hardware -> lightweight CPU or minimal upgrade. | Different servers deployment -> CPU-accelerated approach preferred for portability.
Big,High,New,Absent,Different servers,Server->User,Different bank,Saraswat,classical_but_latest_hw,Mid,latest,66.75,Medium,RSA/ECDSA (classical); Optional: Dilithium / Kyber (enable on hardware),cpu_with_accel,Server CPU with crypto acceleration (AVX2/AVX512) or co-processor,Kyber/ECDSA,Policy classical but latest hardware -> classical preferred with PQC possible. | Hardware capable -> suggest optional PQC deployment. | High budget + new/latest hardware -> high-end FPGA/ASIC recommended. | Different servers deployment -> CPU-accelerated approach preferred for portability.
